, bm_provider_firm_id , count(distinct bm_doc_id ) 
,              445581 ,                        565 
,              488190 ,                       3328 
,              750051 ,                       1695 
,              122396 ,                       2086 
,              603148 ,                         71 
,              683197 ,                         41 
,              888992 ,                       3426 
,              955434 ,                        108 
,              975483 ,                       4257 
,              419414 ,                       1408 
,              636751 ,                        296 
,              847272 ,                        166 
,              399805 ,                        520 
,              780433 ,                         59 
,              833514 ,                         13 
,              747111 ,                      13352 
,              758172 ,                       2473 
,              538353 ,                        291 
,              866840 ,                         33 
,              917118 ,                        743 
,               30214 ,                      32461 
,              333017 ,                       1196 
,              967704 ,                       1862 
,              732262 ,                       1087 
,              385774 ,                         28 
,              539877 ,                       4902 
,              521260 ,                          6 
,              183394 ,                       1820 
,              397539 ,                      24375 
,              578607 ,                        215 
,              451987 ,                       7830 
,              328348 ,                       5330 
,              496523 ,                        456 
,              219423 ,                         49 
,              800887 ,                         29 
,              870719 ,                       1987 
,              964253 ,                         53 
,              804408 ,                        590 
,              509433 ,                       8615 
,              783404 ,                       1497 
,              557988 ,                         96 
,              345332 ,                      48223 
,              589819 ,                       1462 
,              264886 ,                         14 
,              193927 ,                        305 
,              510508 ,                       4449 
,              148621 ,                       1450 
,              893736 ,                       5127 
,              102379 ,                        837 
,              237536 ,                        864 
,              748444 ,                       4603 
,              844137 ,                         52 
,              810146 ,                       5549 
,              893409 ,                       2016 
,              598825 ,                       3512 
,              377703 ,                         25 
,              555705 ,                       2372 
,              397752 ,                       1112 
,                9850 ,                          1 
,              321297 ,                        109 
,              690417 ,                       1360 
,              269716 ,                        107 
,              406767 ,                       3110 
,              908912 ,                       3767 
,              543695 ,                       2633 
,              133020 ,                          5 
,              166604 ,                         21 
,              143291 ,                         54 
,               31208 ,                       1054 
,              332501 ,                        272 
,              751362 ,                      12058 
,              302146 ,                         24 
,               20624 ,                      10676 
,              386745 ,                          3 
,               45166 ,                         32 
,              744742 ,                        425 
,              830388 ,                        106 
,              101726 ,                       4633 
,              328803 ,                       1079 
,               38015 ,                      26411 
,              517333 ,                       4589 
,              633265 ,                      10202 
,              866488 ,                       5671 
,              182108 ,                        293 
,              740218 ,                       3054 
,              462833 ,                      10361 
,              860808 ,                       5387 
,              562311 ,                       4402 
,              255214 ,                         17 
,              221208 ,                        380 
,              600302 ,                        236 
,              492093 ,                       1318 
,              778864 ,                       7433 
,              279149 ,                         45 
,              903554 ,                        724 
,              814766 ,                       1821 
,              592419 ,                        128 
,               31569 ,                       2047 
,              156238 ,                        250 
,               91919 ,                     218162 
,               29610 ,                       3823 
,               10703 ,                       5208 
,              786675 ,                        451 
,              890043 ,                      10558 
,               31839 ,                      10057 
,              479840 ,                        149 
,              386620 ,                         45 
,               30318 ,                       6027 
,              245012 ,                        134 
,              612798 ,                       3689 
,              461144 ,                      14018 
,              244267 ,                       2612 
,               22608 ,                       4466 
,              200954 ,                        997 
,              206790 ,                       3700 
,               14687 ,                       1126 
,              809119 ,                       9153 
,              657287 ,                        493 
,              591522 ,                        277 
,              841836 ,                       2556 
,              634488 ,                       2288 
,               14275 ,                       2244 
,              678838 ,                         11 
,              389401 ,                       2323 
,              416802 ,                         83 
,              803939 ,                        515 
,              809323 ,                       1095 
,              343953 ,                       3607 
,              397393 ,                         17 
,               31797 ,                       2426 
,              957231 ,                          6 
,              757697 ,                        235 
,              902361 ,                        138 
,              631224 ,                        317 
,              974771 ,                       1602 
,              520848 ,                        396 
,               70008 ,                        393 
,              926828 ,                       2213 
,              657433 ,                       3254 
,              276582 ,                          2 
,              435522 ,                         35 
,              782042 ,                         97 
,              634744 ,                        271 
,              167369 ,                       2512 
,              677046 ,                        144 
,              215484 ,                        102 
,              783159 ,                       1448 
,              561453 ,                       1338 
,              336364 ,                        984 
,              650641 ,                       1140 
,              570923 ,                       9459 
,              706680 ,                        311 
,              310366 ,                          4 
,              456183 ,                        284 
,              919363 ,                         14 
,              440470 ,                        409 
,              355329 ,                        220 
,              526664 ,                         23 
,              361354 ,                       4043 
,              218534 ,                        130 
,              100005 ,                      20269 
,              929723 ,                      15743 
,               30960 ,                        670 
,              902242 ,                       7166 
,              575261 ,                         94 
,              530765 ,                        462 
,              633173 ,                       4436 
,              208179 ,                        342 
,              883708 ,                         56 
,               29572 ,                       4891 
,              851280 ,                        404 
,              319243 ,                          6 
,              178587 ,                       1154 
,              837370 ,                        528 
,              670476 ,                       9797 
,              203311 ,                         49 
,              665402 ,                       4260 
,              999079 ,                        529 
,              529462 ,                        989 
,              906025 ,                       5264 
,              941011 ,                       1669 
,              547236 ,                       1694 
,              790173 ,                         54 
,              880631 ,                       2121 
,              199969 ,                          1 
,              512547 ,                        429 
,              304823 ,                          6 
,               16975 ,                      69406 
,              864347 ,                          2 
,              875016 ,                        847 
,              765220 ,                         21 
,              121118 ,                        744 
,              366710 ,                       4043 
,              335050 ,                        532 
,              239333 ,                         52 
,              571851 ,                         24 
,              218368 ,                       1414 
,              238186 ,                       6243 
,              842110 ,                       2068 
,              417225 ,                      11747 
,              681760 ,                        559 
,               15314 ,                      38404 
,              204062 ,                        716 
,              973034 ,                       3416 
,              760499 ,                        223 
,               17125 ,                      52830 
,               29553 ,                     110196 
,              423057 ,                       7597 
,              748700 ,                        939 
,              700514 ,                        958 
,              410616 ,                        334 
,              892322 ,                          7 
,              165536 ,                        549 
,              481112 ,                          1 
,              531593 ,                        188 
,              213521 ,                        401 
,              963952 ,                       8499 
,              582170 ,                          8 
,              670563 ,                        193 
,              796290 ,                       1008 
,              444091 ,                       7876 
,               67854 ,                       1787 
,              467407 ,                         10 
,              743998 ,                        874 
,              209359 ,                        920 
,              140347 ,                      16029 
,              831733 ,                        920 
,              276058 ,                          4 
,              929241 ,                         13 
,              381124 ,                          3 
,              133283 ,                         17 
,              922998 ,                          1 
,              807637 ,                        238 
,              161881 ,                        360 
,              812356 ,                          7 
,              459811 ,                        104 
,              993251 ,                         27 
,               31856 ,                       5783 
,              715557 ,                        124 
,              395912 ,                       3183 
,              958100 ,                        167 
,               15176 ,                       3347 
,              656922 ,                       4942 
,              992505 ,                       1526 
,              365916 ,                       9337 
,              497510 ,                       8043 
,              462261 ,                       2715 
,                2017 ,                       1126 
,               10823 ,                      33181 
,               17149 ,                       2842 
,              628629 ,                         15 
,              818896 ,                         92 
,              766352 ,                         43 
,               25859 ,                     149388 
,              901189 ,                        138 
,              313606 ,                        797 
,              798078 ,                         27 
,              762851 ,                        439 
,              375534 ,                        765 
,              605431 ,                        124 
,              585081 ,                      10235 
,              582917 ,                        187 
,              155497 ,                       9061 
,              104106 ,                      57429 
,              387305 ,                        271 
,              695876 ,                         60 
,              539500 ,                       3554 
,              508244 ,                         27 
,              356080 ,                         65 
,              417739 ,                         79 
,              865158 ,                      16098 
